Case_ID,Timestamp,Activity
case_id1196022463,2024-10-01T23:13:10+01:00,f
case_id1196022463,2024-10-01T23:13:10+01:00,d
case_id1196022463,2024-10-01T23:13:10+01:00,a
case_id1196022463,2024-10-01T23:13:10+01:00,K
case_id1196022463,2024-10-01T23:13:10+01:00,E
case_id1196022463,2024-10-01T23:13:10+01:00,c
case_id1196022463,2024-10-01T23:13:10+01:00,A
case_id1492986647,2024-10-01T23:13:10+01:00,g
case_id1492986647,2024-10-01T23:13:10+01:00,c
case_id1492986647,2024-10-01T23:13:10+01:00,e
case_id1492986647,2024-10-01T23:13:10+01:00,b
case_id1492986647,2024-10-01T23:13:10+01:00,F
case_id1492986647,2024-10-01T23:13:10+01:00,d
case_id1492986647,2024-10-01T23:13:10+01:00,f
case_id1492986647,2024-10-01T23:13:10+01:00,a
case_id1492986647,2024-10-01T23:13:10+01:00,D
case_id1492986647,2024-10-01T23:13:10+01:00,K
case_id1492986647,2024-10-01T23:13:10+01:00,E
case_id1492986647,2024-10-01T23:13:10+01:00,A
case_id1195219463,2024-10-01T23:13:10+01:00,f
case_id1195219463,2024-10-01T23:13:10+01:00,b
case_id1195219463,2024-10-01T23:13:10+01:00,g
case_id1195219463,2024-10-01T23:13:10+01:00,e
case_id1195219463,2024-10-01T23:13:10+01:00,c
case_id1195219463,2024-10-01T23:13:10+01:00,d
case_id1195219463,2024-10-01T23:13:10+01:00,F
case_id1195219463,2024-10-01T23:13:10+01:00,K
case_id1195219463,2024-10-01T23:13:10+01:00,E
case_id1195219463,2024-10-01T23:13:10+01:00,A
case_id860689608,2024-10-01T23:13:10+01:00,e
case_id860689608,2024-10-01T23:13:10+01:00,c
case_id860689608,2024-10-01T23:13:10+01:00,g
case_id860689608,2024-10-01T23:13:10+01:00,d
case_id860689608,2024-10-01T23:13:10+01:00,b
case_id860689608,2024-10-01T23:13:10+01:00,a
case_id860689608,2024-10-01T23:13:10+01:00,D
case_id860689608,2024-10-01T23:13:10+01:00,F
case_id860689608,2024-10-01T23:13:10+01:00,f
case_id860689608,2024-10-01T23:13:10+01:00,K
case_id860689608,2024-10-01T23:13:10+01:00,E
case_id860689608,2024-10-01T23:13:10+01:00,A
case_id1139684585,2024-10-01T23:13:10+01:00,e
case_id1139684585,2024-10-01T23:13:10+01:00,c
case_id1139684585,2024-10-01T23:13:10+01:00,f
case_id1139684585,2024-10-01T23:13:10+01:00,g
case_id1139684585,2024-10-01T23:13:10+01:00,b
case_id1139684585,2024-10-01T23:13:10+01:00,a
case_id1139684585,2024-10-01T23:13:10+01:00,D
case_id1139684585,2024-10-01T23:13:10+01:00,d
case_id1139684585,2024-10-01T23:13:10+01:00,F
case_id1139684585,2024-10-01T23:13:10+01:00,K
case_id1139684585,2024-10-01T23:13:10+01:00,E
case_id1139684585,2024-10-01T23:13:10+01:00,A
case_id237853973,2024-10-01T23:13:10+01:00,d
case_id237853973,2024-10-01T23:13:10+01:00,e
case_id237853973,2024-10-01T23:13:10+01:00,b
case_id237853973,2024-10-01T23:13:10+01:00,g
case_id237853973,2024-10-01T23:13:10+01:00,a
case_id237853973,2024-10-01T23:13:10+01:00,F
